legajo,apellido,nombre,telefono,dni,curso_id
1000,Dimnage,Orin,3316431432,341862802,4
1001,Piller,Durward,8712636381,211672998,9
1002,Rosas,Markos,5448973862,216592591,5
1003,Deinert,Guy,6475411934,840413694,1
1004,Gouldthorp,Kristian,2685354563,877107811,10
1005,Radnage,Maude,4008063411,628114447,4
1006,Sivier,Ronalda,6336637210,181660108,9
1007,Simonett,Dorie,6328693092,940194997,10
1008,Widd,Zabrina,4749290230,238236592,3
1009,Daunter,Auberta,7612197281,7678596,4
1010,Happs,Janetta,5414093925,765801063,3
1011,Loins,Jeffry,2261088989,353106673,6
1012,Doag,Filmore,7922873764,355368856,8
1013,Whitington,Laure,4023456186,541787198,3
1014,Dwelley,Olympia,4589152353,663535314,3
1015,Songist,Jessamyn,3072644923,700469460,8
1016,Zavittieri,Neils,6696477765,743875068,8
1017,St. Quentin,Ibbie,4323353761,972832119,2
1018,Francisco,Kristine,3513208174,992938281,6
1019,Bullin,Lettie,7476580707,389510759,2
1020,Spavon,Muhammad,3022476010,897837458,8
1021,Monger,Diahann,1777511627,834031606,5
1022,MacPhail,Galvin,7314556438,155991886,7
1023,McCombe,Cole,4291582307,805754676,2
1024,Tuma,Roberta,1287118307,454089865,5
1025,McGougan,Courtney,8742255874,189801010,9
1026,Dwight,Madelena,4207602842,544754878,8
1027,Braun,Max,5059429146,242939683,4
1028,Housam,Fons,6763426703,83621849,9
1029,Daveridge,Mellisa,6541642858,942586183,7
1030,Dollar,Sarene,3306797644,182242582,9
1031,Jouanot,Tedd,8138013311,73312581,3
1032,Hampstead,Bobbette,3216788388,520903365,8
1033,Jellico,Dosi,5869527001,203475244,5
1034,Sacase,Claudius,9189487855,197658396,10
1035,Harral,Monroe,1447626033,57089410,4
1036,Pountain,Jacinthe,8736137516,615063512,9
1037,Blaza,Delinda,7742690455,268034532,10
1038,Hardwick,Drud,9708984547,920316065,7
1039,Cubbino,Berkly,6173948137,432524713,10
1040,Lebond,Harrietta,9174766670,582760060,3
1041,Dunford,Berrie,4527229106,835725412,7
1042,Dightham,Rickey,3636917753,578903437,6
1043,Dunley,Stu,1946936675,995791759,4
1044,Abrahami,Mozelle,5162140475,797672843,7
1045,Essex,Germain,2168531060,803758937,1
1046,Reddel,Webster,6523405870,642072416,1
1047,Saville,Gwendolin,9173142970,954674591,5
1048,Semrad,Teddi,3901134887,321140438,3
1049,Mullins,Ginnie,9862635685,96294059,6
1050,Kemmet,Bertina,1598203992,493082848,1
1051,Esson,Marylou,1782823452,87135014,1
1052,Drover,Melicent,6178824173,655034113,7
1053,Gunther,Molli,4519297967,199199089,8
1054,Ongin,Burnard,5015219553,358216328,6
1055,Swatridge,Lionello,3305002767,419484697,8
1056,Worsam,Whitman,4233501809,200438383,3
1057,Grierson,Moselle,3011847035,467923683,2
1058,Falkner,Emmit,9885723191,483065923,3
1059,Kennady,Pippa,2261990696,970506061,1
1060,Yve,Adolphus,5374735749,46433783,7
1061,Siddaley,Darby,1003110359,836768861,7
1062,Bramsom,Devin,5364176887,242629689,5
1063,Stothard,Nadean,1698645596,559904083,4
1064,Ruben,Gwenny,9447771794,844513452,8
1065,Childers,Corine,4286113115,805373100,2
1066,Polgreen,Florenza,9638441595,85336302,5
1067,Chicotti,Ase,6031141326,719693536,9
1068,Loade,Clair,1243688419,522518854,7
1069,Rase,Lin,9672783662,629998608,2
